id,disfluent_sentence,fluent_sentence,i0_indexing,pos_tags
4339-49,yeah i think that we 're going to be uh owning a mini van for some years to come,i think that we re going to be owning a mini van for some years to come,I 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0,NN NN VBP IN PRP VBP VBG TO VB JJ VBG DT NN NN IN DT NNS TO VB
4339-49,probably till the kids are out of uh high school anyway,probably till the kids are out of high school anyway,0 0 0 0 0 0 0 I 0 0 0,RB VB DT NNS VBP IN IN JJ JJ NN RB
3075-97,well th there are exceptions made for special occasions like that,well there are exceptions made for special occasions like that,0 I 0 0 0 0 0 0 0 0 0,RB IN EX VBP NNS VBN IN JJ NNS IN DT
3075-97,but the ordinary thing is to stay out of the north in the winter and get out of texas in the summer so,but the ordinary thing is to stay out of the north in the winter and get out of texas in the summer,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I,CC DT JJ NN VBZ TO VB IN IN DT NN IN DT NN CC VB IN IN NN IN DT NN IN
2917-56,uh huh uh huh,,I I I I,JJ NN NN NN
3115-89,those i can understand,those i can understand,0 0 0 0,DT NNS MD VB
2726-172,depends on what 's going on,depends on what 's going on,0 0 0 0 0 0,NNS IN WP VBZ VBG IN
2279-123,oh that 's my husband 's into uh computers,my husband s into computers,I I I 0 0 0 0 0 I,IN DT POS PRP$ NN POS IN JJ NNS
2827-78,uh huh,,I I,NN NN
2827-78,no i have n't,no i have n't,0 0 0 0,DT NN VBP RB
2433-18,or is that what your into or,is that what your into,I 0 0 0 0 0 I,CC VBZ IN WP PRP$ IN CC
2387-18,yeah i i do n't care for rock at all,i do nt care for rock at all,I I 0 0 0 0 0 0 0 0,NN NN NN VBP RB VB IN NN IN DT
2387-18,i guess i 'm real old fashioned in my musical tastes,i guess i m real old fashioned in my musical tastes,0 0 0 0 0 0 0 0 0 0 0,JJ NN NN VBP JJ JJ VBN IN PRP$ JJ NNS
2619-1,well wi with an engineering degree it 's of course it 's a whole lot easier,with an engineering degree it 's a whole lot easier,I I 0 0 0 0 I I I I 0 0 0 0 0 0,RB RB IN DT NN NN PRP VBZ IN NN PRP VBZ DT JJ NN JJR
3526-32,oh yeah definitely,definitely,I I 0,UH NN RB
3303-51,good to talk to you,good to talk to you,0 0 0 0 0,JJ TO VB TO PRP
3080-137,well i think we covered it,i think we covered it,I 0 0 0 0 0,RB RB VBP PRP VBD PRP
2305-80,no there was a woman she said a woman my my best friends are lawyers a woman and you know all this and it was just,no there was a woman she said a woman my best friends are lawyers a woman and it was just,0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 I I I I I 0 0 0 0,DT EX VBD DT NN PRP VBD DT NN PRP$ PRP$ JJS NNS VBP NNS DT NN CC PRP VBP PDT DT CC PRP VBD RB
4728-66,i know but i bet you he really enjoys riding it,i bet you he really enjoys riding it,I I I 0 0 0 0 0 0 0 0,NN VBP CC VBP RB PRP PRP RB VBZ VBG PRP
2959-127,you know and then they try to camouflage the top,and then they try to camouflage the top,I I 0 0 0 0 0 0 0 0,PRP VBP CC RB PRP VBP TO VB DT NN
3364-49,oh he is,he is,I 0 0,IN PRP VBZ
3364-49,so he 's out for good,so he s out for good,0 0 0 0 0 0,IN PRP VBZ RP IN JJ
2874-35,yeah uh the other day i was fishing with bread uh there 's a college across the street and they it 's it 's full of carp and uh i caught a carp on a about what size is that uh i think it was a number two treble hook and it 's huge its its mouth was full of hooks,the other day i was fishing with bread there s a college across the street it s full of carp and i caught a carp on a i think it was a number two treble hook and it s huge its mouth was full of hooks,I I 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 I 0 0 0 0 0 0 I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,NN IN DT JJ NN NN VBD VBG IN JJ NN EX VBZ DT NN IN DT NN CC PRP PRP VBZ PRP VBZ JJ IN NN CC JJ NN VBD DT NN IN DT IN WP NN VBZ IN JJ NN VBP PRP VBD DT NN CD JJ NN CC PRP VBZ JJ PRP$ PRP$ NN VBD JJ IN NNS
2874-35,so he was in a bad way,so he was in a bad way,0 0 0 0 0 0 0,RB PRP VBD IN DT JJ NN
2874-35,but uh it 's he was fast,he was fast,I I I I 0 0 0,CC IN PRP VBZ PRP VBD RB
2874-35,he,he,0,PRP
3936-51,yeah we 're kind of used to that here in utah course there are mountains and i fly into montana a lot and we have a the mountains are are really uh high and a lot of places we go in to you just kind of uh it 's in the little valley but i uh sure hope we we really need the moisture,we re kind of used to that here in utah there are mountains and i fly into montana a lot and the mountains are high and a lot of places we go in to it s in the little valley we really need the moisture,I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 I I I I I 0 0 0 0 0 0 I I I I I I 0 0 0 0 0,NN PRP VBP NN IN VBN TO DT RB IN JJ NN EX VBP NNS CC JJ VBP IN FW DT NN CC PRP VBP DT DT NNS VBP VBP RB JJ JJ CC DT NN IN NNS PRP VBP IN TO PRP RB NN IN NN PRP VBZ IN DT JJ NN CC JJ JJ JJ NN PRP PRP RB VB DT NN
3936-51,i hope we can get uh get some,i hope we can get some,0 0 0 0 I I 0 0,NNS VBP PRP MD VB JJ VB DT
3936-51,there 's supposed to be a storm but it split went down through uh northern arizona and southern utah and they 're not predicting any for the next uh week anyway up here so,there s supposed to be a storm but it split went down through northern arizona and southern utah and they re not predicting any for the next week anyway up here,0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 I,EX VBZ VBN TO VB DT NN CC PRP VBD VBD RB IN JJ JJ NN CC JJ NN CC PRP VBP RB VBG DT IN DT JJ NN NN RB RB RB RB
