id,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,io_indexing,disfluent_original
4339-49,i think that we re snuff it no sorry we re going to be owning a mini van for some years to come,"['i', 'think', 'that', 'we', 're', 'going', 'to', 'be', 'owning', 'a', 'mini', 'van', 'for', 'some', 'years', 'to', 'come']","['i', 'think', 'that', 'we', 're', 'snuff', 'it', 'no', 'sorry', 'we', 're', 'going', 'to', 'be', 'owning', 'a', 'mini', 'van', 'for', 'some', 'years', 'to', 'come']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,I 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0,yeah i think that we 're going to be uh owning a mini van for some years to come
4339-49,,,,,,0 0 0 0 0 0 0 I 0 0 0,probably till the kids are out of uh high school anyway
3075-97,,,,,,0 I 0 0 0 0 0 0 0 0 0,well th there are exceptions made for special occasions like that
3075-97,,,,,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I,but the ordinary thing is to stay out of the north in the winter and get out of texas in the summer so
2279-123,,,,,,I I I 0 0 0 0 0 I,oh that 's my husband 's into uh computers
2433-18,,,,,,I 0 0 0 0 0 I,or is that what your into or
2387-18,,,,,,I I 0 0 0 0 0 0 0 0,yeah i i do n't care for rock at all
2619-1,,,,,,I I 0 0 0 0 I I I I 0 0 0 0 0 0,well wi with an engineering degree it 's of course it 's a whole lot easier
3526-32,,,,,,I I 0,oh yeah definitely
3080-137,,,,,,I 0 0 0 0 0,well i think we covered it
2305-80,no there was a woman she said a woman my best Quaker wait a minute my best friends are lawyers a woman and it was just,"['no', 'there', 'was', 'a', 'woman', 'she', 'said', 'a', 'woman', 'my', 'best', 'friends', 'are', 'lawyers', 'a', 'woman', 'and', 'it', 'was', 'just']","['no', 'there', 'was', 'a', 'woman', 'she', 'said', 'a', 'woman', 'my', 'best', 'Quaker', 'wait', 'a', 'minute', 'my', 'best', 'friends', 'are', 'lawyers', 'a', 'woman', 'and', 'it', 'was', 'just']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",noun_with_cue,0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 I I I I I 0 0 0 0,no there was a woman she said a woman my my best friends are lawyers a woman and you know all this and it was just
4728-66,,,,,,I I I 0 0 0 0 0 0 0 0,i know but i bet you he really enjoys riding it
2959-127,and then they try to camouflage the whirligig wait a minute to camouflage the top,"['and', 'then', 'they', 'try', 'to', 'camouflage', 'the', 'top']","['and', 'then', 'they', 'try', 'to', 'camouflage', 'the', 'whirligig', 'wait', 'a', 'minute', 'to', 'camouflage', 'the', 'top']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F']",noun_with_cue,I I 0 0 0 0 0 0 0 0,you know and then they try to camouflage the top
3364-49,he personify no i meant to say he is,"['he', 'is']","['he', 'personify', 'no', 'i', 'meant', 'to', 'say', 'he', 'is']","['D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",verb_with_cue,I 0 0,oh he is
2874-35,the other day i was fishing with bread there s a college across the street it s full of carp and i caught a carp on a i think it was a number two treble hook and it s huge its mouth make up actually no mouth was full of hooks,"['the', 'other', 'day', 'i', 'was', 'fishing', 'with', 'bread', 'there', 's', 'a', 'college', 'across', 'the', 'street', 'it', 's', 'full', 'of', 'carp', 'and', 'i', 'caught', 'a', 'carp', 'on', 'a', 'i', 'think', 'it', 'was', 'a', 'number', 'two', 'treble', 'hook', 'and', 'it', 's', 'huge', 'its', 'mouth', 'was', 'full', 'of', 'hooks']","['the', 'other', 'day', 'i', 'was', 'fishing', 'with', 'bread', 'there', 's', 'a', 'college', 'across', 'the', 'street', 'it', 's', 'full', 'of', 'carp', 'and', 'i', 'caught', 'a', 'carp', 'on', 'a', 'i', 'think', 'it', 'was', 'a', 'number', 'two', 'treble', 'hook', 'and', 'it', 's', 'huge', 'its', 'mouth', 'make', 'up', 'actually', 'no', 'mouth', 'was', 'full', 'of', 'hooks']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,I I 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 I I I I 0 0 0 0 0 0 I 0 0 0 0 0 0 I I I I I I 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0,yeah uh the other day i was fishing with bread uh there 's a college across the street and they it 's it 's full of carp and uh i caught a carp on a about what size is that uh i think it was a number two treble hook and it 's huge its its mouth was full of hooks
2874-35,he follow I mean he was fast,"['he', 'was', 'fast']","['he', 'follow', 'I', 'mean', 'he', 'was', 'fast']","['D', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,I I I I 0 0 0,but uh it 's he was fast
3936-51,,,,,,I 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 I I I 0 0 0 I I I 0 0 0 0 0 0 0 0 0 0 I I I I I 0 0 0 0 0 0 I I I I I I 0 0 0 0 0,yeah we 're kind of used to that here in utah course there are mountains and i fly into montana a lot and we have a the mountains are are really uh high and a lot of places we go in to you just kind of uh it 's in the little valley but i uh sure hope we we really need the moisture
3936-51,,,,,,0 0 0 0 I I 0 0,i hope we can get uh get some
3936-51,there s supposed to be a storm but it split went down through northern arizona and southerly no sorry through northern arizona and southern utah and they re not predicting any for the next week anyway up here,"['there', 's', 'supposed', 'to', 'be', 'a', 'storm', 'but', 'it', 'split', 'went', 'down', 'through', 'northern', 'arizona', 'and', 'southern', 'utah', 'and', 'they', 're', 'not', 'predicting', 'any', 'for', 'the', 'next', 'week', 'anyway', 'up', 'here']","['there', 's', 'supposed', 'to', 'be', 'a', 'storm', 'but', 'it', 'split', 'went', 'down', 'through', 'northern', 'arizona', 'and', 'southerly', 'no', 'sorry', 'through', 'northern', 'arizona', 'and', 'southern', 'utah', 'and', 'they', 're', 'not', 'predicting', 'any', 'for', 'the', 'next', 'week', 'anyway', 'up', 'here']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",adj_with_cue,0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 I 0 0 0 0 I,there 's supposed to be a storm but it split went down through uh northern arizona and southern utah and they 're not predicting any for the next uh week anyway up here so
